Cycle 1: PC=00000000 | Inst=00000000 | PC_Branch=fffffffc | Taken=0
Cycle 2: PC=00000004 | Inst=20080001 | PC_Branch=fffffffc | Taken=0
Cycle 3: PC=00000008 | Inst=20090001 | PC_Branch=00000000 | Taken=0
Cycle 4: PC=0000000c | Inst=200a0002 | PC_Branch=00000008 | Taken=0
Cycle 5: PC=00000010 | Inst=200b0020 | PC_Branch=0000000c | Taken=0
Cycle 6: PC=00000014 | Inst=114b0005 | PC_Branch=00000014 | Taken=0
Cycle 7: PC=00000018 | Inst=01286020 | PC_Branch=00000090 | Taken=0
Cycle 8: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 9: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 10: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 11: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 12: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 13: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 14: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 15: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 16: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 17: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 18: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 19: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 20: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 21: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 22: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 23: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 24: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 25: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 26: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 27: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 28: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 29: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 30: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 31: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 32: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 33: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 34: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 35: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 36: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 37: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 38: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 39: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 40: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 41: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 42: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 43: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 44: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 45: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 46: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 47: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
